사건명	상황	스킬	부가 설명	대사
3	알림 전직 퀘스트를 수락하시겠습니까? 수락 / 거부 	지배자의 손길: 마나 필요 없음, 직접 손을 대지 않고도 물리적인 영향을 미친다		그나저나 이제야 겨우 이 게임이 본격적으로 시작할 조짐이 보이는군. 과연 이 안엔 뭐가 기다리고 있을까? 기대되는군. 
	수락 → 전직 퀘스트를 시작하십시오. 게이트를 통해 던전으로 입장하십시오. 	그림자 추출: 직업 전용 스킬.  소모 마나 없음. - 생명이 다한 신체에서 마나를 뽑아내어 그림자 병사로 만듭니다. - 대상이 가진 능력치, 대상의 사망 경과 시간에 비례하여 추출 실패 확률이 올라갑니다.	그림자 군주로 전직 당시 획득한 스킬로, 죽은 존재의 망령을 불러들여 자신의 수하인 그림자 병사로 재탄생시킨다. 사실상 성진우의 아이덴티티이자 핵심, 마스코트 스킬이다. 여담으로 아이언이 만들어질 때를 보면, 죽었을 당시의 모습과는 관계없이 최대한 강력하게 완전무장한 상탵로 그림자 병사가 된다.	생각보다 평범한 던전이군. 물약과 상태 회복을 사용할 수 없다고?
	알림 지금부터 전직 퀘스트를 시작합니다. 버텨낸 시간만큼 상위 클래스로 전직하는 데 필요한 포인트를 모을 수 있습니다. 알림 행운을 빕니다.	그림자 저장: 직업 전용 스킬.  소모 마나 없음. - 그림자 병사들을 시전자의 그림자 속에 흡수하여 저장해둡니다. - 흡수한 그림자 병사들은 시전자가 원하는 때 언제든지 소환이나 재흡수가 가능합니다.	그림자 군주로 전직 당시 획득한 스킬로, 그림자 병사를 자신의 그림자 속에 불러들여 언제든지 소환, 소환 해제가 가능한 스킬이다.	퀘스트를 완료하지 않으면 나가는 것도 불가능해 이것저것 생각하고 움직여야겠군
	알림 모든 마수를 처치했습니다. 전직 퀘스트를 종료합니다. 획득한 승급 포인트에 따라 상위 클래스로의 전직이 가능해집니다. 전직 퀘스트에서의 활약을 분석하여 합당한 직업을 부여합니다. 			눈이, 귀가, 손끝이 온몸의 감각이 기억한다. 이중 던전에서 느꼈던 것과 똑같은 위압감이야. 
	알림 분석이 끝났습니다. 			인형의 마수인가?
	알림 플레이어가 머무는 곳에는 항상 사신의 숨결이 깃듭니다. 플레이어가 지나가는 길에는 시체가 쌓이고, 피비린내가 진동합니다. 또한 플레이어는 강한 힘을 갈망하고 있으며, 동료에게 의지하지 않고, 자신의 힘만으로 길을 개척해 냅니다. 강한 힘에 대한 그대의 열망은 죽음의 골짜기에서 헤매고 있는 망령들을 불러들입니다. 그대의 명을 따르는 망자들의 군대는 누구의 도움도 없이 오직 당신만을 위해 길을 만들 것입니다. 당신의 직업은 [네크로맨서]입니다. 			표피가 단단한 적이라면, 이미 경험했다!
	직업을 받아들이시겠습니까? 수락 / 거부 			급소 찌르기 한 번을 낭비해버렸군 대미지나 마나도 회복이 안 되는 판에...
	알림 네크로맨서는 '히든 클래스'입니다. 그래도 거부하시겠습니까? 			하지만 그런 걸 배려해 줄 리는 없겠지
	알림 직업이 결정되었습니다.			역시 쉬지 않고 싸우니까 지치네. 이제 한숨 돌리겠군
	알림 획득한 승급 포인트에 따라 상위 클래스로 전직할 수 있는 기회가 주어집니다. 예상 플레이 시간을 초과했습니다. 승급 포인트가 한계치를 넘었습니다. 			은신? 은신을 쓰는 녀석까지 나타난다고?
	알림 직업이 바뀌었습니다. 네크로맨서 ⇒ 그림자 군주 			이번엔 마법사인가? 게다가 섬광을 쐈어!
				은신에 섬광 마법까지 어떻게 된 거지?
				카사카 건도 그렇고 마치 지금까지의 전투를 복습하는 것 같군
				생각보다 더 까다로운 퀘스트야
				마수에 따라 공략에 필요한 능력이 달라 기사는 근력 자개는 감각, 궁수는 민첩
				근력이 떨어지면 기사한테 대미지를 줄 수 없고, 감각이 낮으면 자객의 기척을 감지할 수 없어
				그런데 문제는 마법사야
				아마 지능으로 대항해야겠지만, 하필 지능은 거기까지 올리지 않았어 그래서 마나도 적고 스킬 사용은 최소화하고 싶지만...
				피로도 꽤 쌓였어 빨리 끝내야 해!
				지금은 이런 것도 귀중해 마수한테서 아이템이 나와서 다행이야
				그러고 보니 장비형 아이템은 써 본 적이 없네
				투명해지는구나! 겉모습이 변하지 않는 건 다행이야
				움직일 때 걸리적 거리지도 않아
				상태 회복이 없어서 실감은 안 나지만 레벨도 올랐어
				골드와 아이템도 모았고, 피로도 회복했으니까 이제 다음 스테이지로 진입해볼까?
				그나저나 이 문 너머에 있을 적이 얼마나 강할지... 공략하지 않고선 나갈 수 없다면 나아갈 수밖에 없어.  
				치를 떨게 만드는 이 한기... 
				왕의 알현실? 눈이, 귀가, 손끝이 온몸의 감각이 기억한다
				이중 던전에서 느꼈던 것과 똑같은 위압감이야
				심상치 않은 기운의 정체는 이놈이었나?
				기사단장 핏빛의 이그리트' 이름이 검붉은색이야
				역시 지금까지 상대한 놈드로가는 달라!
				왕자의 빈자리를 지키는 기사
				온다! 이 녀석, 기둥을 두부 자르듯 베어 버렸어!
				이건 강한 정도가 아냐!
				저 무거운 갑옷을 걸치고 이 속도라니... 무지막지한 놈이군!
				역시 안 통하나? 속도는 거의 같지만 파괴력은 나보다 높아
				갑옷 때문에 단검도 통하지 않아
				내가 이 녀석을 이길 방법이 있을까?
				상상 이상으로 강적이야
				하지만... 맨손으로 이길 수 있을 것 같진 않지만 갑옷 안까지 대미지를 입히기 위해서는 이 방법밖에 없어!
				기사도라는 건가? 날 얕보고 있군
				빠르다! 가드를 했는데도 체력이 500은 깎여 나간 것 같아 방어구를 착용하길 잘했어
				이걸 직격으로 맞았다간 무사하지 못했을 거야 검을 버렸는데도 이 힘은 뭐지?
				너무 강해!
				공격력으로 상대가 안 된다면 난 속도를 올린다!
				따라잡을 수 없어! 패시브 스킬로 방어력이 증가했다!
				나는... 아직... 지지 않았어! 
				그 단검은 양도할 수 없다! 인벤토리를 통해 다시 돌아오지
				얕다, 좀 더 깊게!
				이긴 건가? 
				정말로 아슬아슬했어
				이길 수 있었던 건 요행이야
				스킬, 실력, 경험치 그 모든 것에서 격차가 느껴지는 싸움이었어
				자칫 잘못했다간 죽었을 거야
				보상이 네 개나? 150만 골드가 들어있는 가죽 주머니 그리고 이그리트와 같은 형태의 투구, 심지어 s급 아이템이잖아!
				악마성 열쇠도 S급이었지만 장비형 아이템 중에서 S급은 이게 처음이야
