사건명	상황	스킬	부가 설명	대사
2	퀘스트 안내 [히든 퀘스트: 강자가 되기 위한 준비] 	 대주술사 칸디아루의 축복 : 당신을 위해 대주술사 칸디아루가 특별한 주문을 선물했습니다. 칸디아루의 축복이 함께하는 한 당신은 늘 튼튼하고 건강한 삶을 누릴 수 있을 것입니다. - (일시효과) 재활의 의지: 손상된 신체의 모든 부위를 복구합니다. - (지속효과) 무병장수: 모든 질병과 독성 및 상태 이상에 면역이 되며, 수면 시 재생 능력이 대폭 상승합니다.	성진우의 첫번째 패시브 스킬임과 동시에 최초로 얻은 스킬.  수면 시의 회복력 상승은 그다지 작중에서 효과가 부각되진 않지만, 또다른 효과인 모든 질병 및 독성, 상태 이상 면역 효과는 많은 전투 속에서 큰 활약을 펼친다.  적의 독 공격이나 디버프 스킬을 여러 차례 막아내었고, 소비아이템에 포함된 부작용조차 무효화한다.	중요한 건 가족을 위해 강해지는 것과 죽지 않는 것. 또 같은 상황이 와도 그렇게 할 거야. 
	보상이 도착했습니다. 			무엇보다 레벨업 능력이 나한테 어떤 영향을 미치는지도 모르는 채 다른 사람과 팀을 짜는 건 리스크가 너무 커.  
	알림 '지옥의 수문장 켈베로스' 처치 레벨이 올랐습니다			왜 목표치 이상의 거리가 카운트 되는 거지?
	퀘스트 보상 보상을 선택하십시오. 보상1. 상태 회복 보상2. 능력치 포인트 보상3. 축복 받은 랜덤 박스 / 저주 받은 랜덤 박스. 수락하시겠습니까? 			일일 퀘스트가 히든 퀘스트로 변했어
				선택식 랜덤박스?
				일단 축복 받은 랜덤 박스를 선택해볼까? 
				또 열쇠네? '악마성'... 입수 난이도가 S라고?
				강력한 마법의 힘으로 모든 병을 낫게 하는 생명의 신수!'
				생명의 신수라는 게 정말로 모든 병을 다 나을 수 있게 한다면 당연히 손에 넣어야지. 
				열쇠의 입수 난이도가 던전과 비례한다면 이걸로 열 수 있는 던전도 S급
				그렇다면 안에는 그 S급 헌터들이 실패한 제주도 수준의 마수가 기다리고 있겠지
				차원이 다른 그런 괴물들한테 지금의 내 공격이 통할까?
				무섭지 않다고 하면 거짓말이다
				정말로 위험한 순간에는 인스턴스 던전에서 쓰지 않았던 귀환석을 쓰면 돼
				포기하면 거기까지다. 난 더 강해지고 더 레벨업해서 모든 걸 되찾을 거야
				이런 데서 명줄이 끊어질 순 없지!
				대미지가 거의 없어. 칭호 효과가 적용되고 있는데 이 정도라니!
				틀렸어! 경고? 순식간에 3분의 1이나 깎였어!
				빠르다... 벌써 절반? 어쩔 수 없어, 상태 회복!
				들어갔다! 역시 위기 상황을 알려서 죽지 않도록 도와주는 건가? 
				내가 플레이어니까. 이런 건 아무리 생각해도 일반적인 재각성이 아니야
				딱 3분만 분노상태를 견뎌내면... 아냐, 어림없어 너무 위험해
				이걸 쓸 수 밖에... 대체 어떻게 살아남으란 거야?
				이제 몇 번만 더 당함녀 끝이다
				뭔가 방법이 없을까? 상점, 깜빡했다!
				할 수 밖에 없어. "해독완료" 
				좋았어! 아직.. 움직일 수 있다!
				스킬 효과가 떨어졌다
				생명의 신수의 도안? 
				이번 일로 내 역량을 알게 됐다
				지금 상태로 성에 들어가면 틀림없이 죽는다
				하지만... 조만간 다시 돌아올 거다
				반드시!
